"lfdn";"external_lfdn";"tester";"dispcode";"lastpage";"quality";"duration";"c_0001";"Studienteilnahme";"Trust_Car_1";"Trust_Car_2";"Trust_Car_3";"car_check";"Manip_Check_1";"Manip_Check_2";"Manip_Check_3";"car_comp1";"car_comp2";"car_comp3";"car_comp4";"car_comp5";"car_consc1";"car_consc2";"car_consc3";"car_consc4";"car_consc5";"car_consc6";"driv_comp1";"driv_comp2";"driv_comp3";"driv_comp4";"driv_comp5";"driv_consc1";"driv_consc2";"driv_consc3";"driv_consc4";"Resp_Bic";"Resp_Car";"Resp_Driver";"Resp_Producer";"Sex";"Age";"Car_Owner";"km_year";"Education";"Occupation";"Occupation_Sonst";"Income";"Quality_1";"Quality_2";"Quality_3";"Quality_4";"Quality_5";"Quality_6";"ext_host";"ip_addr";"browser";"referer";"device_type";"participant_browser";"participant_browser_version";"participant_os";"participant_device";"participant_brand";"participant_model";"participant_isbot";"participant_continent";"participant_country";"participant_region";"participant_city";"participant_latitude";"participant_longitude";"quota";"quota_assignment";"page_history";"hflip";"vflip";"output_mode";"javascript";"flash";"session_id";"language";"cleaned";"ats";"datetime";"date_of_last_access";"date_of_first_mail"
"24";"0";"0";"31";"3884111";"-77";"740";"6";"1";"4";"5";"5";"6";"1";"3";"1";"5";"5";"6";"4";"4";"4";"7";"4";"6";"4";"4";"2";"3";"1";"1";"1";"6";"7";"6";"7";"4";"4";"4";"7";"1";"24";"2";"2500";"3";"2";"-99";"2";"7";"1";"7";"5";"1";"5";"-99";"-99";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.120 Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3884104,3884105,3884106,3884107,3884108,3884109,3884110,3884111";"0";"0";"0";"-77";"-77";"fe9756107d066e90dc0d668b0af554cf";"1";"0";"1571731288";"2019-10-22 08:01:28";"2019-10-22 08:13:48";"0000-00-00 00:00:00"
"26";"0";"0";"31";"3884111";"-77";"626";"2";"1";"1";"1";"6";"9";"5";"5";"5";"4";"4";"4";"5";"5";"4";"4";"5";"3";"4";"4";"2";"3";"3";"3";"2";"6";"6";"4";"7";"3";"7";"2";"6";"1";"24";"2";"500";"3";"2";"-99";"2";"1";"3";"7";"7";"1";"7";"-99";"-99";"Mozilla/5.0 (Linux; Android 8.1.0; SM-T580) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.116 Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3884104,3884105,3884106,3884107,3884108,3884109,3884110,3884111";"1";"1";"0";"-77";"-77";"57c055cbbf4eaee831f3723a9d5d6bf8";"1";"0";"1571731316";"2019-10-22 08:01:56";"2019-10-22 08:12:22";"0000-00-00 00:00:00"
"27";"0";"0";"31";"3884111";"-77";"418";"5";"1";"1";"2";"3";"10";"7";"2";"1";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"2";"6";"6";"6";"1";"30";"1";"15000";"5";"7";"-99";"4";"7";"1";"7";"7";"1";"5";"-99";"-99";"Mozilla/5.0 (iPhone; CPU iPhone OS 13_1_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.1 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3884104,3884105,3884106,3884107,3884108,3884109,3884110,3884111";"0";"1";"0";"-77";"-77";"d26905c9aa7d9f07c3cb888cb85e42e5";"1";"0";"1571732685";"2019-10-22 08:24:45";"2019-10-22 08:31:43";"0000-00-00 00:00:00"
"28";"0";"0";"31";"3884111";"-77";"427";"4";"1";"3";"5";"5";"9";"1";"3";"4";"5";"5";"4";"3";"4";"4";"3";"5";"5";"6";"4";"6";"5";"5";"5";"5";"6";"6";"5";"7";"5";"6";"6";"6";"2";"25";"1";"7000";"5";"7";"-99";"3";"7";"2";"7";"4";"1";"7";"-99";"-99";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3884104,3884105,3884106,3884107,3884108,3884109,3884110,3884110,3884110,3884111";"1";"0";"0";"-77";"-77";"fbc2b61f0172bc712f8eae206f39d50e";"1";"0";"1571735804";"2019-10-22 09:16:44";"2019-10-22 09:23:51";"0000-00-00 00:00:00"
"29";"0";"0";"32";"3884111";"-77";"-1";"1";"1";"4";"3";"4";"8";"2";"3";"2";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"6";"5";"4";"2";"5";"4";"5";"1";"30";"1";"10000";"5";"7";"-99";"4";"4";"6";"5";"4";"1";"6";"-99";"-99";"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3884104,3884105,3884106,3884107,3884108,3884109,3884110,3884111";"1";"0";"0";"-77";"-77";"d5a4363cea69124f5fc104afa8455db6";"1";"0";"1571739442";"2019-10-22 10:17:22";"2019-10-22 12:14:05";"0000-00-00 00:00:00"
"43";"0";"0";"31";"3884111";"-77";"542";"5";"1";"2";"3";"3";"11";"6";"3";"1";"6";"4";"4";"4";"4";"2";"2";"2";"6";"2";"2";"1";"1";"4";"5";"5";"2";"2";"2";"6";"4";"4";"4";"4";"1";"33";"2";"2000";"4";"6";"-99";"3";"6";"1";"7";"7";"1";"6";"-99";"-99";"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:60.0) Gecko/20100101 Firefox/60.0";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3884104,3884104,3884104,3884105,3884106,3884107,3884108,3884109,3884110,3884111";"0";"1";"0";"-77";"-77";"6eea89776b6c978d35de89798e7e9bbb";"1";"0";"1571814453";"2019-10-23 07:07:33";"2019-10-23 07:16:35";"0000-00-00 00:00:00"
"47";"0";"0";"31";"3884111";"-77";"5493";"4";"1";"2";"4";"4";"11";"2";"4";"5";"4";"4";"5";"4";"5";"4";"4";"4";"4";"3";"3";"4";"4";"4";"4";"4";"5";"5";"5";"5";"4";"4";"2";"3";"2";"33";"1";"11000";"4";"2";"-99";"3";"5";"2";"6";"6";"1";"7";"-99";"-99";"Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3884104,3884105,3884106,3884107,3884108,3884109,3884110,3884111";"0";"1";"0";"-77";"-77";"5a1e29ae36da8a611d8bb96c6b1006d3";"1";"0";"1571835788";"2019-10-23 13:03:08";"2019-10-23 14:34:41";"0000-00-00 00:00:00"
"48";"0";"0";"31";"3884111";"-77";"678";"2";"1";"4";"3";"4";"8";"2";"6";"2";"6";"6";"6";"6";"6";"5";"5";"6";"6";"6";"6";"4";"5";"4";"5";"5";"6";"4";"4";"6";"1";"1";"6";"5";"1";"58";"1";"9000";"5";"6";"-99";"5";"6";"2";"7";"7";"1";"7";"-99";"-99";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3884104,3884105,3884106,3884107,3884108,3884108,3884108,3884109,3884110,3884111";"1";"1";"0";"-77";"-77";"757a2a918d143bcaea41651db18d9fb2";"1";"0";"1571836009";"2019-10-23 13:06:49";"2019-10-23 13:18:07";"0000-00-00 00:00:00"
"53";"0";"0";"31";"3884111";"-77";"424";"2";"1";"1";"2";"4";"4";"5";"3";"1";"6";"5";"5";"5";"6";"5";"6";"4";"5";"7";"7";"5";"6";"6";"5";"5";"7";"5";"4";"5";"3";"5";"7";"4";"2";"24";"2";"4500";"5";"1";"-99";"1";"6";"2";"7";"7";"1";"7";"-99";"-99";"Mozilla/5.0 (iPhone; CPU iPhone OS 13_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.1 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3884104,3884105,3884106,3884107,3884108,3884109,3884110,3884111";"0";"0";"0";"-77";"-77";"b92e5cf22998e55a301739b60cd15554";"1";"0";"1571844445";"2019-10-23 15:27:25";"2019-10-23 15:34:29";"0000-00-00 00:00:00"
"54";"0";"0";"31";"3884111";"-77";"439";"5";"1";"3";"5";"5";"9";"6";"5";"1";"5";"6";"5";"5";"5";"6";"6";"5";"5";"4";"3";"4";"5";"6";"6";"5";"5";"6";"5";"5";"6";"5";"5";"3";"2";"24";"1";"8000";"5";"7";"-99";"2";"7";"2";"7";"7";"1";"7";"-99";"-99";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.120 Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3884104,3884105,3884106,3884107,3884108,3884109,3884110,3884111";"1";"1";"0";"-77";"-77";"0d3881a327a2e7cd79ec7662169cad18";"1";"0";"1571858856";"2019-10-23 19:27:36";"2019-10-23 19:34:55";"0000-00-00 00:00:00"
